episode,timestep,reward
1,1000,2.2941
3,2000,0.6633
5,3000,2.4307
7,4000,1.2012
9,5000,1.4676
11,6000,3.9646
13,7000,1.5192
15,8000,3.964
17,9000,5.356
19,10000,5.4934
21,11000,4.7619
23,12000,3.0669
25,13000,11.9286
27,14000,11.3398
29,15000,9.6587
31,16000,9.2101
33,17000,9.2796
35,18000,10.4752
37,19000,24.9482
39,20000,19.1607
41,21000,22.8626
43,22000,17.0064
45,23000,30.2268
47,24000,32.7123
49,25000,23.8943
51,26000,21.6588
53,27000,12.5953
55,28000,26.07
57,29000,21.9483
59,30000,20.0804
61,31000,7.053
63,32000,20.4485
65,33000,18.3225
67,34000,13.7869
69,35000,17.3349
71,36000,26.0113
73,37000,18.4257
75,38000,22.7521
77,39000,16.5167
79,40000,33.5366
81,41000,47.4496
83,42000,15.4429
85,43000,18.0846
87,44000,13.4419
89,45000,27.3112
91,46000,45.8194
93,47000,15.2541
95,48000,24.6838
97,49000,27.0564
99,50000,15.0594
101,51000,18.7206
103,52000,12.261
105,53000,22.3815
107,54000,9.7329
109,55000,20.9668
111,56000,19.6566
113,57000,25.8355
115,58000,30.9428
117,59000,18.8958
119,60000,18.6524
121,61000,18.8216
123,62000,36.3892
125,63000,17.7609
127,64000,27.388
129,65000,45.8349
131,66000,22.0285
133,67000,25.1252
135,68000,28.7003
137,69000,34.0146
139,70000,60.7042
141,71000,22.2021
143,72000,31.9322
145,73000,21.1041
147,74000,30.9836
149,75000,22.5853
151,76000,24.8437
153,77000,38.0011
155,78000,27.5306
157,79000,23.3262
159,80000,24.9864
161,81000,13.8892
163,82000,41.591
165,83000,24.5759
167,84000,25.967
169,85000,36.2165
171,86000,37.7968
173,87000,22.2551
175,88000,20.9308
177,89000,20.7913
179,90000,14.6947
181,91000,30.2431
183,92000,18.8203
185,93000,47.6018
187,94000,25.3239
189,95000,26.5002
191,96000,47.0994
193,97000,39.498
195,98000,59.3776
197,99000,26.7361
199,100000,28.7922
201,101000,25.9753
203,102000,8.8945
205,103000,56.911
207,104000,29.0981
209,105000,36.8728
211,106000,48.5817
213,107000,39.2934
215,108000,40.2454
217,109000,24.0293
219,110000,35.101
221,111000,28.9555
223,112000,24.1351
225,113000,60.9377
227,114000,43.8073
229,115000,26.7157
231,116000,23.6825
233,117000,48.8812
235,118000,69.7788
237,119000,39.1437
239,120000,22.2641
241,121000,34.3786
243,122000,47.939
245,123000,45.2057
247,124000,71.4657
249,125000,15.3657
251,126000,27.573
253,127000,16.4976
255,128000,90.5373
257,129000,38.2748
259,130000,69.4524
261,131000,63.7695
263,132000,48.7069
265,133000,53.3254
267,134000,66.6599
269,135000,71.2062
271,136000,65.85
273,137000,62.192
275,138000,50.6327
277,139000,55.8729
279,140000,54.9703
281,141000,40.9824
283,142000,63.617
285,143000,38.8426
287,144000,40.2026
289,145000,43.3523
291,146000,60.3805
293,147000,64.4563
295,148000,24.119
297,149000,75.9753
299,150000,18.9655
301,151000,78.1672
303,152000,52.5287
305,153000,62.5762
307,154000,25.1156
309,155000,109.1484
311,156000,41.5949
313,157000,18.0383
315,158000,56.0142
317,159000,23.4712
319,160000,67.5185
321,161000,19.9102
323,162000,37.8988
325,163000,86.0435
327,164000,114.888
329,165000,51.5875
331,166000,36.8739
333,167000,39.9794
335,168000,50.4336
337,169000,18.4258
339,170000,58.8994
341,171000,78.3041
343,172000,68.2363
345,173000,51.9622
347,174000,22.6581
349,175000,55.6951
351,176000,98.2463
353,177000,41.4263
355,178000,38.1982
357,179000,95.1819
359,180000,32.4823
361,181000,13.9045
363,182000,104.6512
365,183000,64.2705
367,184000,31.565
369,185000,57.5836
371,186000,59.194
373,187000,24.8497
375,188000,50.1411
377,189000,67.9907
379,190000,99.9808
381,191000,23.4818
383,192000,48.0759
385,193000,40.4061
387,194000,31.6047
389,195000,36.0062
391,196000,62.6324
393,197000,51.6643
395,198000,39.499
397,199000,36.9957
399,200000,25.3379
401,201000,29.088
403,202000,66.7379
405,203000,79.9549
407,204000,36.3225
409,205000,47.5129
411,206000,39.4291
413,207000,73.2475
415,208000,75.4077
417,209000,90.8362
419,210000,26.3142
421,211000,33.9878
423,212000,12.8929
425,213000,52.3946
427,214000,53.9845
429,215000,70.161
431,216000,26.0546
433,217000,40.4285
435,218000,27.116
437,219000,28.1231
439,220000,62.3339
441,221000,43.0429
443,222000,55.8829
445,223000,37.2534
447,224000,60.7296
449,225000,42.4127
451,226000,27.0512
453,227000,149.2221
455,228000,21.5005
457,229000,45.7861
459,230000,57.5032
461,231000,56.2942
463,232000,89.8554
465,233000,36.9678
467,234000,62.782
469,235000,45.0425
471,236000,41.1953
473,237000,11.1685
475,238000,65.2766
477,239000,18.1454
479,240000,46.4859
481,241000,32.703
483,242000,17.8316
485,243000,37.084
487,244000,46.3426
489,245000,21.7571
491,246000,15.7163
493,247000,9.9618
495,248000,64.3691
497,249000,61.6233
499,250000,38.9863
501,251000,44.2872
503,252000,21.6008
505,253000,38.6919
507,254000,77.3119
509,255000,41.294
511,256000,68.3519
513,257000,72.128
515,258000,71.9172
517,259000,38.4152
519,260000,88.3254
521,261000,74.3143
523,262000,22.0518
525,263000,78.9759
527,264000,64.0985
529,265000,92.7483
531,266000,105.9914
533,267000,32.1067
535,268000,46.9881
537,269000,93.2333
539,270000,53.7985
541,271000,68.1643
543,272000,24.9538
545,273000,40.6117
547,274000,34.4063
549,275000,48.3836
551,276000,83.3899
553,277000,87.2165
555,278000,52.0315
557,279000,30.8868
559,280000,59.8815
561,281000,28.3631
563,282000,44.0194
565,283000,79.0041
567,284000,73.8161
569,285000,50.6817
571,286000,58.2636
573,287000,67.578
575,288000,39.987
577,289000,67.4146
579,290000,19.4296
581,291000,66.4605
583,292000,95.997
585,293000,27.8248
587,294000,73.0168
589,295000,21.3802
591,296000,53.5176
593,297000,33.9484
595,298000,25.8978
597,299000,49.5495
599,300000,60.0845
601,301000,82.2595
603,302000,44.6227
605,303000,59.8991
607,304000,79.0171
609,305000,26.5641
611,306000,50.6414
613,307000,37.8936
615,308000,84.5762
617,309000,78.3811
619,310000,61.6372
621,311000,38.5307
623,312000,76.2549
625,313000,91.8749
627,314000,34.6199
629,315000,36.6262
631,316000,61.4156
633,317000,111.4636
635,318000,49.9185
637,319000,58.3277
639,320000,62.7057
641,321000,41.5045
643,322000,40.4026
645,323000,37.4116
647,324000,25.5711
649,325000,41.2774
651,326000,50.9988
653,327000,41.0465
655,328000,29.1097
657,329000,64.6067
659,330000,23.0435
661,331000,101.3678
663,332000,59.43
665,333000,47.7202
667,334000,30.599
669,335000,36.8058
671,336000,31.1635
673,337000,37.992
675,338000,39.595
677,339000,88.2236
679,340000,70.447
681,341000,52.6129
683,342000,75.9899
685,343000,61.5581
687,344000,60.9722
689,345000,38.3766
691,346000,71.5645
693,347000,99.306
695,348000,53.0068
697,349000,43.9301
699,350000,55.7126
701,351000,92.0392
703,352000,41.6564
705,353000,93.9292
707,354000,40.3272
709,355000,65.573
711,356000,60.9956
713,357000,42.4108
715,358000,94.874
717,359000,64.7251
719,360000,19.933
721,361000,50.5032
723,362000,23.218
725,363000,63.6854
727,364000,33.0478
729,365000,29.9577
731,366000,71.1647
733,367000,38.3189
735,368000,44.1274
737,369000,26.8836
739,370000,46.8114
741,371000,71.1193
743,372000,47.1391
745,373000,41.5222
747,374000,57.9701
749,375000,60.0154
751,376000,69.4572
753,377000,49.1876
755,378000,62.4868
757,379000,53.4763
759,380000,24.623
761,381000,65.9569
763,382000,51.0451
765,383000,77.0078
767,384000,21.2123
769,385000,47.4822
771,386000,53.2495
773,387000,38.6082
775,388000,62.7959
777,389000,36.4391
779,390000,49.5282
781,391000,76.4177
783,392000,18.4982
785,393000,30.5054
787,394000,55.0905
789,395000,25.3837
791,396000,35.2235
793,397000,29.3679
795,398000,50.7512
797,399000,60.9691
799,400000,39.3342
801,401000,58.9702
803,402000,65.0275
805,403000,36.3587
807,404000,48.5411
809,405000,33.0069
811,406000,25.8188
813,407000,38.1847
815,408000,64.5821
817,409000,19.6423
819,410000,26.4727
821,411000,41.1222
823,412000,39.7986
825,413000,16.9088
827,414000,45.6052
829,415000,60.2653
831,416000,44.2384
833,417000,64.6372
835,418000,45.5463
837,419000,62.3102
839,420000,54.2225
841,421000,20.7156
843,422000,20.5655
845,423000,35.3694
847,424000,33.2604
849,425000,20.1099
851,426000,13.0808
853,427000,90.0191
855,428000,54.7509
857,429000,51.1463
859,430000,24.4821
861,431000,58.8676
863,432000,19.8353
865,433000,78.1768
867,434000,43.6899
869,435000,60.6057
871,436000,44.2225
873,437000,40.0526
875,438000,25.8683
877,439000,49.0465
879,440000,32.1474
881,441000,27.5962
883,442000,60.1817
885,443000,29.7084
887,444000,40.2212
889,445000,48.421
891,446000,74.5653
893,447000,34.5573
895,448000,48.7613
897,449000,51.4518
899,450000,79.5622
901,451000,48.0324
903,452000,32.8142
905,453000,40.8289
907,454000,41.6051
909,455000,34.7361
911,456000,57.7718
913,457000,34.7025
915,458000,53.5723
917,459000,30.9028
919,460000,29.0452
921,461000,15.1298
923,462000,59.6882
925,463000,40.4765
927,464000,29.7674
929,465000,35.7377
931,466000,39.14
933,467000,25.2538
935,468000,17.2954
937,469000,48.055
939,470000,62.6919
941,471000,41.8797
943,472000,37.9196
945,473000,62.3761
947,474000,22.9037
949,475000,65.1785
951,476000,36.0374
953,477000,21.6178
955,478000,35.0779
957,479000,58.8306
959,480000,49.0686
961,481000,26.9426
963,482000,34.4115
965,483000,66.1117
967,484000,41.8585
969,485000,42.443
971,486000,73.3947
973,487000,33.5164
975,488000,43.6778
977,489000,59.1008
979,490000,44.737
981,491000,80.5265
983,492000,56.1597
985,493000,18.7799
987,494000,48.1644
989,495000,35.6592
991,496000,22.8683
993,497000,20.7605
995,498000,20.3385
997,499000,43.0301
999,500000,52.4605
